ingredient,disease,effect,reason
grill seasoning,kidney disease,very negative,"Typically very high in sodium and may contain potassium chloride, both of which should be avoided."
ground beef,kidney disease,negative,"High in protein and phosphorus, which need to be carefully managed in a kidney diet."
ground black pepper,kidney disease,neutral,
ground cumin,kidney disease,neutral,
ground lamb,kidney disease,negative,"High in protein and phosphorus, which need to be carefully managed in a kidney diet."
ground pork,kidney disease,negative,"High in protein and phosphorus, which need to be carefully managed in a kidney diet."
gruyere cheese,kidney disease,very negative,"Very high in sodium, phosphorus, and protein."
guava paste,kidney disease,negative,High in sugar and potassium.
habanero pepper,kidney disease,positive,"A good way to add flavor without salt, and low in potassium."
half and half,kidney disease,negative,A dairy product that is high in phosphorus and potassium.
half and half cream,kidney disease,negative,A dairy product that is high in phosphorus and potassium.
halloumi cheese,kidney disease,very negative,Extremely high in sodium due to the brining process.
ham,kidney disease,very negative,A processed meat that is extremely high in sodium and often contains phosphate additives.
ham bone,kidney disease,very negative,Leaches large amounts of sodium and phosphorus into broths and soups.
ham hock,kidney disease,very negative,A cured meat that is extremely high in sodium and phosphorus.
hard boiled egg,kidney disease,negative,"Egg yolks are high in phosphorus. Egg whites are a better option, but the whole egg should be limited."
hash brown potato,kidney disease,very negative,Potatoes are very high in potassium. Processed versions are also typically high in sodium.
hazelnut,kidney disease,negative,Nuts are high in potassium and phosphorus.
heavy cream,kidney disease,negative,A dairy product that is high in phosphorus and potassium.
heavy whipping cream,kidney disease,negative,A dairy product that is high in phosphorus and potassium.
herbes de provence,kidney disease,positive,An excellent salt-free way to add flavor to food.
herring fillet,kidney disease,negative,"Often preserved in salt, making it high in sodium. Also a source of protein and phosphorus to be monitored."
hibiscus petal,kidney disease,neutral,
hickory flavored liquid smoke,kidney disease,negative,Can be very high in sodium.
hijiki seaweed,kidney disease,very negative,Extremely high in potassium and sodium.
hoagie roll,kidney disease,negative,Refined breads can be high in sodium and may contain phosphate additives.
hog casing,kidney disease,negative,Used for sausages and is typically high in sodium.
hoisin sauce,kidney disease,very negative,Extremely high in sodium and sugar.
hominy,kidney disease,negative,Can be high in phosphorus if processed with phosphate additives.
honey,kidney disease,negative,A source of sugar and potassium; should be consumed in moderation.
honey ham,kidney disease,very negative,A processed meat that is extremely high in sodium and often contains phosphate additives.
horseradish,kidney disease,negative,Prepared versions are often very high in sodium.
hot chile paste,kidney disease,very negative,Typically very high in sodium.
hot chile pepper,kidney disease,positive,"A good way to add flavor without salt, and low in potassium."
hot chocolate mix,kidney disease,very negative,"High in phosphorus and potassium from dairy and cocoa, as well as sugar."
hot italian sausage,kidney disease,very negative,"A processed meat that is very high in sodium, phosphorus, and protein."
hot pepper,kidney disease,positive,"A good way to add flavor without salt, and low in potassium."
hot pepper flake,kidney disease,neutral,
hot pepper sauce,kidney disease,very negative,Typically extremely high in sodium.
hot red pepper,kidney disease,positive,"A good way to add flavor without salt, and low in potassium."
hot sauce,kidney disease,very negative,"Extremely high in sodium, which increases blood pressure and fluid retention, straining the kidneys."
hummus,kidney disease,negative,"Made from chickpeas, which are high in potassium and phosphorus. Commercial versions are also often high in sodium."
hungarian hot paprika,kidney disease,neutral,
hungarian sweet paprika,kidney disease,neutral,
ice,kidney disease,positive,"Promotes hydration, which is crucial for kidney function, without adding any harmful minerals."
ice cube,kidney disease,positive,"Promotes hydration, which is crucial for kidney function, without adding any harmful minerals."
iceberg lettuce,kidney disease,positive,"Low in potassium, phosphorus, and sodium, making it a kidney-friendly vegetable."
icing sugar,kidney disease,neutral,
imitation crab,kidney disease,very negative,"Highly processed and very high in sodium and phosphorus additives, which are harmful to kidney health."
imitation crab meat,kidney disease,very negative,"Highly processed and very high in sodium and phosphorus additives, which are harmful to kidney health."
instant chocolate pudding mix,kidney disease,very negative,"High in sugar, sodium, and often contains phosphorus additives that are easily absorbed and should be avoided."
instant coffee granule,kidney disease,negative,"High in potassium, which needs to be limited by many people with kidney disease."
instant coffee powder,kidney disease,negative,"High in potassium, which needs to be limited by many people with kidney disease."
instant dry milk powder,kidney disease,very negative,"A concentrated source of potassium, phosphorus, and protein, all of which need to be restricted in advanced kidney disease."
instant nonfat dry milk,kidney disease,very negative,"A concentrated source of potassium, phosphorus, and protein, all of which need to be restricted in advanced kidney disease."
instant vanilla pudding mix,kidney disease,very negative,"High in sugar, sodium, and often contains phosphorus additives that are easily absorbed and should be avoided."
instant yeast,kidney disease,neutral,
italian cheese blend,kidney disease,very negative,"Cheese is very high in sodium, phosphorus, and protein, making it difficult to fit into a kidney-friendly diet."
italian flat leaf parsley,kidney disease,positive,A fresh herb that adds flavor to food without adding sodium.
italian flat leaf parsley leaf,kidney disease,positive,A fresh herb that adds flavor to food without adding sodium.
italian herb seasoning,kidney disease,positive,"A salt-free way to add flavor to food, helping to reduce sodium intake."
italian hot sausage link,kidney disease,very negative,"A processed meat that is very high in sodium, protein, and phosphorus."
italian parsley,kidney disease,positive,A fresh herb that adds flavor to food without adding sodium.
italian plum,kidney disease,negative,"Contains a moderate to high amount of potassium, which may need to be limited."
italian prune plum,kidney disease,negative,"Contains a moderate to high amount of potassium, which may need to be limited."
italian sausage,kidney disease,very negative,"A processed meat that is very high in sodium, protein, and phosphorus."
italian seasoning,kidney disease,positive,"A salt-free way to add flavor to food, helping to reduce sodium intake."
italian style crushed tomato,kidney disease,very negative,"Tomatoes are very high in potassium, and canned versions are also high in sodium."
italian style salad dressing,kidney disease,very negative,Typically very high in sodium and may contain unhealthy fats and phosphorus additives.
italian tomato,kidney disease,negative,"Very high in potassium, which needs to be restricted on a kidney diet."
italian vegetable salad,kidney disease,negative,Often contains high-potassium vegetables like tomatoes and high-sodium ingredients like olives and dressing.
